[10:41:57] [INIT] KubeJS 2101.7.0-build.171; MC 2101 NeoForge
[10:41:57] [INIT] Loaded plugins:
[10:41:57] [INIT] - dev.latvian.mods.kubejs.BuiltinKubeJSPlugin
[10:41:57] [INIT] - dev.latvian.mods.kubejs.integration.architectury.ArchitecturyIntegration
[10:41:57] [INIT] - com.blakebr0.cucumber.compat.kubejs.CucumberKubeJSPlugin
[10:41:57] [INIT] - dev.ftb.mods.ftbxmodcompat.neoforge.ftbquests.kubejs.FTBQuestsKubeJSPlugin
[10:41:57] [INIT] - dev.ftb.mods.ftbxmodcompat.neoforge.ftbchunks.kubejs.FTBChunksKubeJSPlugin
[10:41:57] [INIT] - dev.ftb.mods.ftbxmodcompat.neoforge.ftbteams.kubejs.FTBTeamsKubeJSPlugin
[10:41:57] [INIT] - dev.ftb.mods.ftbxmodcompat.neoforge.ftbfiltersystem.kubejs.FFSKubeJSPlugin
[10:41:57] [INIT] - aztech.modern_industrialization.compat.kubejs.MIKubeJSPlugin
[10:41:57] [INFO] Loaded script server_scripts:modpack/att_items.js in 0.003 s
[10:41:57] [INFO] Loaded script server_scripts:modpack/miningDim.js in 0.005 s
[10:41:57] [INFO] Loaded script server_scripts:modpack/mini_portals.js in 0.0 s
[10:41:57] [INFO] Loaded script server_scripts:mods/AdditionalEnchantedMiner/Recipes.js in 0.0 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Allthemodium/Recipes.js in 0.0 s
[10:41:57] [INFO] Loaded script server_scripts:mods/AllTheOres/Recipes.js in 0.0 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Applied Energistics/Recipes.js in 0.001 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Building Gadgets/Recipes.js in 0.001 s
[10:41:57] [INFO] Loaded script server_scripts:mods/enderman overhaul/recipes.js in 0.0 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Entangled/Recipes.js in 0.001 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Explorer's Compass/Recipes.js in 0.0 s
[10:41:57] [INFO] Loaded script server_scripts:mods/ExtremeReactors/Recipes.js in 0.0 s
[10:41:57] [INFO] Loaded script server_scripts:mods/FTB Quests/Recipes.js in 0.0 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Handcrafted/Recipes.js in 0.004 s
[10:41:57] [INFO] Loaded script server_scripts:mods/JustDireThings/Recipes.js in 0.0 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Mekanism/Compatibility.js in 0.001 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Mekanism/Rebalance/Gear.js in 0.0 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Mekanism/Rebalance/Items.js in 0.0 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Mekanism/Rebalance/Units.js in 0.001 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Mekanism/Recipes.js in 0.002 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Modern Industrialization/Aluminum.js in 0.001 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Modern Industrialization/Cobble_Gen.js in 0.001 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Modern Industrialization/Quarry.js in 0.002 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Modern Industrialization/Replicator.js in 0.0 s
[10:41:57] [INFO] Loaded script server_scripts:mods/MysticalAgriculture/FusionCrafting.js in 0.0 s
[10:41:57] [INFO] Loaded script server_scripts:mods/MysticalAgriculture/Recipes.js in 0.001 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Powah/Energizing.js in 0.001 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Productive Bees/Tags.js in 0.001 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Productive Bees/Temp_Fix.js in 0.001 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Time In A Bottle/Recipes.js in 0.001 s
[10:41:57] [INFO] Loaded script server_scripts:mods/Utilitarian/Recipes.js in 0.001 s
[10:41:57] [INFO] Loaded script server_scripts:Tweaks/recipes.js in 0.001 s
[10:41:57] [INFO] Loaded script server_scripts:Tweaks/tags.js in 0.0 s
[10:41:57] [INFO] server_scripts:Unification/sawing.js#53: Loaded Java class 'java.util.stream.Collectors'
[10:41:57] [INFO] Loaded script server_scripts:Unification/sawing.js in 0.003 s
[10:41:57] [INFO] Loaded 34/34 KubeJS server scripts in 0.098 s with 0 errors and 0 warnings
[10:42:00] [INFO] [minecraft:block] Found 1864 tags, added 41 objects, removed 0 objects
[10:42:00] [INFO] [minecraft:item] Found 3628 tags, added 28 objects, removed 0 objects
[10:42:05] [INFO] Initializing recipe event...
[10:42:05] [INFO] Processing recipes...
[10:42:05] [INFO] Skipping recipe mysticalagriculture:seed/crafting/tin, conditions not met
[10:42:05] [INFO] Skipping recipe ae2:matter_cannon/nuggets/yttrium, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_conversion/tetra/geode_bee_from_pristine_emerald, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:enderio/end_steel_bee, conditions not met
[10:42:05] [INFO] Skipping recipe theurgy:reformation/alchemical_sulfur_ashen_from_alchemical_sulfurs_logs_abundant, conditions not met
[10:42:05] [INFO] Skipping recipe mysticalagriculture:seed/reprocessor/rock_crystal, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_produce/gems/moonstone_bee, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_produce/gems/black_opal_bee, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_conversion/create_enchantment_industry/hyper_experience_bee, conditions not met
[10:42:05] [INFO] Skipping recipe ae2:matter_cannon/nuggets/indium, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_produce/chemlib/berkelium_bee, conditions not met
[10:42:05] [INFO] Skipping recipe allthemodium:melting/allthemodium_from_raw_ore, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_produce/chemlib/promethium_bee, conditions not met
[10:42:05] [INFO] Skipping recipe theurgy:incubation/logs_lunar_from_alchemical_sulfur_lunar, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:hives/advanced_biomesoplenty_magic_beehive_clear, conditions not met
[10:42:05] [INFO] Skipping recipe mysticalagriculture:essence/create/veridium, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:tconstruct/honeycomb/cobalt, conditions not met
[10:42:05] [INFO] Skipping recipe croptopia:te_insolator/insolator_onion, conditions not met
[10:42:05] [INFO] Skipping recipe ae2:matter_cannon/nuggets/bismuth, conditions not met
[10:42:05] [INFO] Skipping recipe theurgy:reformation/alchemical_sulfur_glimmering_dreamwood_from_alchemical_sulfurs_logs_abundant, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:centrifuge/enderio/honeycomb_redstone_alloy, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_produce/gtceu/tungstate_bee, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_produce/chemlib/barium_bee, conditions not met
[10:42:05] [INFO] Skipping recipe occultism:crushing/cobalt_dust_from_raw_block, conditions not met
[10:42:05] [INFO] Skipping recipe mysticalagriculture:seed/crafting/rubber, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:block_conversion/botania/soul_sand_to_sand, conditions not met
[10:42:05] [INFO] Skipping recipe mysticalagriculture:essence/botania/white_mystical_flower, conditions not met
[10:42:05] [INFO] Skipping recipe alltheores:tools_materials/uranium/uranium_from_nugget, conditions not met
[10:42:05] [INFO] Skipping recipe alltheores:tools_materials/nickel/nickel_from_block, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_breeding/chemlib/boron_bee, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:centrifuge/thermal/honeycomb_resonant_ender, conditions not met
[10:42:05] [INFO] Skipping recipe croptopia:ie_cloche/cloche_blackberry, conditions not met
[10:42:05] [INFO] Skipping recipe theurgy:reformation/alchemical_sulfur_willow_from_alchemical_niter_logs_abundant, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:tconstruct/pig_iron_bee, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_conversion/gems/moonstone_bee, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_produce/spirit/spirit_bee, conditions not met
[10:42:05] [INFO] Skipping recipe allthemodium:casting/vibranium_ingot, conditions not met
[10:42:05] [INFO] Skipping recipe morered:red_alloy_ingot_from_jumbo_smelting, conditions not met
[10:42:05] [INFO] Skipping recipe croptopia:te_insolator/insolator_currant, conditions not met
[10:42:05] [INFO] Skipping recipe ae2:matter_cannon/nuggets/bromine, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:block_conversion/thermal/ice_to_blue_ice, conditions not met
[10:42:05] [INFO] Skipping recipe allthemodium:melting/salvage/vibranium/vibranium_from_chestplate, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_produce/chemlib/seaborgium_bee, conditions not met
[10:42:05] [INFO] Skipping recipe mekanism:compat/biomesoplenty/biofuel/flowering_oak_leaves, conditions not met
[10:42:05] [INFO] Skipping recipe croptopia:botanypots/apricot, conditions not met
[10:42:05] [INFO] Skipping recipe mekanism:compat/biomesoplenty/biofuel/white_petals, conditions not met
[10:42:05] [INFO] Skipping recipe mysticalagriculture:essence/redstone_arsenal/flux_ingot, conditions not met
[10:42:05] [INFO] Skipping recipe mysticalagradditions:tconstruct/casting/prudentium/ingot_gold_cast, conditions not met
